 market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year
 Network Security , -   ,operating,USA,CA,San Diego,Carlsbad,1,1/1/91,1991-01,1991-Q1,1991
 Public Transportation , -   ,operating,USA,OR,"Portland, Oregon",Hillsboro,1,1/1/91,1991-01,1991-Q1,1991
, -   ,,USA,MA,Boston,Andover,1,1/1/91,1991-01,1991-Q1,1991
 Health and Wellness , -   ,operating,USA,CT,Hartford,Windsor,1,1/1/91,1991-01,1991-Q1,1991
 Consulting ,"525,000",operating,USA,MD,Baltimore,Lutherville Timonium,1,1/1/91,1991-01,1991-Q1,1991
 Software ,"25,000",operating,USA,FL,Tampa,Tampa,1,1/1/91,1991-01,1991-Q1,1991
 Hardware + Software ,"1,000,000",operating,USA,VA,"Washington, D.C.",Ashburn,1,1/1/91,1991-01,1991-Q1,1991
 Enterprise Software ,"17,000,000",operating,USA,VA,"Washington, D.C.",Mclean,1,1/1/91,1991-01,1991-Q1,1991
 Education ,"100,000",operating,USA,NY,New York City,New York,1,1/1/91,1991-01,1991-Q1,1991
 Software ,"2,000,000",operating,USA,FL,Tampa,St. Petersburg,1,5/30/91,1991-05,1991-Q2,1991
 Medical ,"120,000",operating,USA,CA,Los Angeles,Beverly Hills,1,3/12/91,1991-03,1991-Q1,1991
 Consulting , -   ,operating,USA,IA,Cedar Rapids,Cedar Rapids,1,1/1/91,1991-01,1991-Q1,1991
 Consulting ,"70,000,000",operating,USA,TX,Dallas,Dallas,1,1/1/91,1991-01,1991-Q1,1991
 Software , -   ,acquired,USA,CA,SF Bay Area,Santa Clara,1,1/1/91,1991-01,1991-Q1,1991
 Entertainment ,"2,000",operating,USA,OH,Youngstown,Youngstown,1,4/1/91,1991-04,1991-Q2,1991
 Biotechnology ,"250,000",operating,USA,MD,"Washington, D.C.",Rockville,1,1/1/91,1991-01,1991-Q1,1991
 Software , -   ,operating,USA,AZ,Tucson,Tucson,1,1/1/91,1991-01,1991-Q1,1991
 Web Hosting ,"15,000,000",operating,USA,CT,Hartford,Wallingford,1,1/1/91,1991-01,1991-Q1,1991
 Biotechnology ,"3,000,000",operating,USA,CA,SF Bay Area,Dublin,1,1/1/91,1991-01,1991-Q1,1991
 Enterprise Software ,"2,850,000",operating,USA,NY,New York City,New York,1,1/1/91,1991-01,1991-Q1,1991
, -   ,operating,USA,NJ,Newark,Short Hills,1,1/1/91,1991-01,1991-Q1,1991
 Health and Wellness ,"2,800,000",operating,USA,CA,San Diego,San Diego,2,1/1/91,1991-01,1991-Q1,1991
 Clean Technology ,"2,294,067",operating,USA,NM,Albuquerque,Albuquerque,2,1/1/91,1991-01,1991-Q1,1991
 Health Care ,"108,000,000",operating,USA,TX,Houston,Kingwood,1,1/1/91,1991-01,1991-Q1,1991
 Analytics ,"13,800,001",operating,USA,MD,"Washington, D.C.",Bethesda,4,1/1/91,1991-01,1991-Q1,1991
 Enterprise Software ,"2,000,000,000",operating,USA,IL,Chicago,Lincolnshire,1,1/1/91,1991-01,1991-Q1,1991
 Advertising ,"30,000,000",operating,USA,NY,New York City,New York,1,1/1/91,1991-01,1991-Q1,1991
 Finance ,"244,600,000",operating,USA,CA,Anaheim,Newport Beach,2,1/1/92,1992-01,1992-Q1,1992
 Software ,"650,000",operating,USA,FL,Orlando,Lake Mary,1,1/1/92,1992-01,1992-Q1,1992
,"77,000,000",operating,USA,AL,Huntsville,Huntsville,1,1/1/92,1992-01,1992-Q1,1992
 Legal ,"1,000,000",operating,USA,CA,SF Bay Area,Sausalito,2,1/1/92,1992-01,1992-Q1,1992
 Internet of Things ,"1,000,000",operating,USA,CA,SF Bay Area,Santa Clara,1,1/1/92,1992-01,1992-Q1,1992
 Web Hosting ,"10,000,000",operating,USA,FL,Palm Beaches,Boca Raton,1,1/1/92,1992-01,1992-Q1,1992
 Mobile ,"76,636,000",operating,USA,FL,Palm Beaches,Boca Raton,6,1/1/92,1992-01,1992-Q1,1992
 Computers , -   ,operating,USA,CA,SF Bay Area,Los Gatos,1,1/1/92,1992-01,1992-Q1,1992
 Software ,"1,157,500",operating,USA,CO,Colorado Springs,Colorado Springs,1,1/1/92,1992-01,1992-Q1,1992
 Health and Wellness ,"155,000",operating,USA,FL,Ft. Lauderdale,Weston,1,1/1/92,1992-01,1992-Q1,1992
 Software ,"30,000,000",operating,USA,CA,SF Bay Area,San Jose,1,1/1/92,1992-01,1992-Q1,1992
 Software ,"29,660,000",operating,USA,CA,SF Bay Area,Palo Alto,2,1/1/92,1992-01,1992-Q1,1992
 Analytics ,"8,000,000",operating,USA,TX,Austin,Austin,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"11,320,500",operating,USA,TX,San Antonio,San Antonio,2,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"60,330,000",operating,USA,CA,SF Bay Area,Alameda,6,6/20/92,1992-06,1992-Q2,1992
, -   ,acquired,USA,FL,Tampa,Tampa,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"138,500,000",operating,USA,MA,Boston,Cambridge,5,1/1/92,1992-01,1992-Q1,1992
 Software ,"4,250,000",operating,USA,CA,SF Bay Area,San Rafael,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"2,750",,USA,OH,Youngstown,Canfield,1,1/1/92,1992-01,1992-Q1,1992
 Restaurants , -   ,operating,USA,MN,Minneapolis,Minneapolis,1,1/1/92,1992-01,1992-Q1,1992
 Consulting ,"50,000,000",operating,USA,VA,"Washington, D.C.",Dulles,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"4,500,000",operating,USA,NC,Raleigh,Morrisville,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"12,000,000",operating,USA,CA,Sacramento,El Dorado Hills,2,1/1/92,1992-01,1992-Q1,1992
 Health and Wellness ,"150,000",operating,USA,TX,Corpus Christi,Corpus Christi,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"3,300,000",operating,USA,MD,Baltimore,Columbia,1,1/1/92,1992-01,1992-Q1,1992
 Hospitality , -   ,operating,USA,WA,Seattle,Woodinville,1,1/1/92,1992-01,1992-Q1,1992
 Hospitality , -   ,operating,USA,OR,OR - Other,Bonanza,1,6/1/92,1992-06,1992-Q2,1992
 Telecommunications , -   ,operating,USA,CO,Denver,Longmont,1,1/1/92,1992-01,1992-Q1,1992
,"6,000,000",closed,USA,TX,Houston,Houston,1,1/1/92,1992-01,1992-Q1,1992
 Web Hosting ,"30,000,000",operating,USA,MD,Baltimore,Columbia,1,1/1/92,1992-01,1992-Q1,1992
,"4,000,000",operating,USA,CA,SF Bay Area,Richmond,1,1/1/92,1992-01,1992-Q1,1992
 Clean Technology ,"9,500,000",operating,USA,MN,Minneapolis,Saint Paul,1,1/1/92,1992-01,1992-Q1,1992
 Clean Technology ,"42,000,000",operating,USA,GA,Atlanta,Atlanta,1,1/1/92,1992-01,1992-Q1,1992
 Infrastructure ,"25,000,000",operating,USA,TX,Dallas,Irving,1,1/1/92,1992-01,1992-Q1,1992
 Software ,"1,671,125",operating,USA,NM,Albuquerque,Santa Fe,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"1,999,999",operating,USA,MD,"Washington, D.C.",Gaithersburg,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"5,791,210",operating,USA,GA,Atlanta,Atlanta,4,1/1/92,1992-01,1992-Q1,1992
 Hospitality ,"5,500,000",operating,USA,CO,Denver,Golden,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"8,582,001",operating,USA,GA,Atlanta,Norcross,3,1/1/92,1992-01,1992-Q1,1992
 Advertising ,"17,890,311",operating,USA,NJ,NJ - Other,Lambertville,1,1/1/92,1992-01,1992-Q1,1992
, -   ,acquired,USA,CA,Los Angeles,Torrance,1,1/1/92,1992-01,1992-Q1,1992
 Health and Wellness ,"5,000,000",acquired,USA,NC,Raleigh,Durham,1,1/1/92,1992-01,1992-Q1,1992
 Games , -   ,operating,USA,GA,Atlanta,Atlanta,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"350,231",operating,USA,NM,Albuquerque,Albuquerque,1,1/1/92,1992-01,1992-Q1,1992
 Venture Capital ,"3,100,000",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"5,953,595",operating,USA,CA,San Diego,San Diego,2,1/1/92,1992-01,1992-Q1,1992
 Games , -   ,operating,USA,CA,SF Bay Area,San Mateo,1,1/1/92,1992-01,1992-Q1,1992
 Software ,"1,301,440",operating,USA,IA,IA - Other,Clear Lake,3,1/1/92,1992-01,1992-Q1,1992
 Health and Wellness ,"2,300,000",operating,USA,NY,New York City,New York,2,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"31,000,000",operating,USA,MA,Boston,Cambridge,2,1/1/92,1992-01,1992-Q1,1992
 Software ,"21,850,000",acquired,USA,TX,Dallas,Plano,1,1/1/92,1992-01,1992-Q1,1992
, -   ,acquired,USA,CA,Los Angeles,Los Angeles,1,1/1/92,1992-01,1992-Q1,1992
 E-Commerce , -   ,operating,USA,MI,Detroit,Madison Heights,1,1/1/92,1992-01,1992-Q1,1992
 Biotechnology ,"10,000,000",operating,USA,CA,San Diego,San Diego,1,1/1/92,1992-01,1992-Q1,1992
 News ,"7,000,000",operating,USA,MA,Boston,Newton,1,3/2/92,1992-03,1992-Q1,1992
